County,State,CountyFIPS,Percentage,Lower Limit, Upper Limit
Autauga County,Alabama,01001,11.1,7.8,15.5
Baldwin County,Alabama,01003,10.7,9,12.6
Barbour County,Alabama,01005,17.6,12.3,23.9
Bibb County,Alabama,01007,14.5,9.5,21
Blount County,Alabama,01009,17,12.7,22.2
Bullock County,Alabama,01011,23.7,13.3,38.3
Butler County,Alabama,01013,19.2,13.6,25.5
Calhoun County,Alabama,01015,17.5,14.9,20.3
Chambers County,Alabama,01017,19.9,14.2,26.8
Cherokee County,Alabama,01019,15.2,10.4,21
Chilton County,Alabama,01021,18.6,13.1,25.2
Choctaw County,Alabama,01023,17.4,13.2,22.7
Clarke County,Alabama,01025,22.4,17,28.9
Clay County,Alabama,01027,13.5,7.7,22.5
Cleburne County,Alabama,01029,12.5,7,20
Coffee County,Alabama,01031,16.1,12.4,20
Colbert County,Alabama,01033,16.2,13,19.8
Conecuh County,Alabama,01035,25.9,18.4,34.3
Coosa County,Alabama,01037,20.8,12.8,31.7
Covington County,Alabama,01039,15.3,11.4,19.7
Crenshaw County,Alabama,01041,18.2,11,27
Cullman County,Alabama,01043,19.3,14.8,24.5
Dale County,Alabama,01045,15.8,12.5,19.9
Dallas County,Alabama,01047,15.9,13.4,18.7
Dekalb County,Alabama,01049,12.8,9.7,16.5
Elmore County,Alabama,01051,15.8,11.6,20.8
Escambia County,Alabama,01053,18.8,13.7,24.7
Etowah County,Alabama,01055,15.7,12.9,18.6
Fayette County,Alabama,01057,23.3,16.6,31.3
Franklin County,Alabama,01059,14.8,10.4,20.5
Geneva County,Alabama,01061,16.9,11.6,22.9
Greene County,Alabama,01063,14.5,8.8,21.9
Hale County,Alabama,01065,17.8,13,23.7
Henry County,Alabama,01067,16.6,10.9,24
Houston County,Alabama,01069,13.5,11.3,16.1
Jackson County,Alabama,01071,16.5,11.5,22
Jefferson County,Alabama,01073,12.9,11.6,14.3
Lamar County,Alabama,01075,18.8,12.3,27
Lauderdale County,Alabama,01077,13.8,11.2,16.9
Lawrence County,Alabama,01079,19.3,12.2,29.8
Lee County,Alabama,01081,9,6.8,11.4
Limestone County,Alabama,01083,13.8,9.6,18.3
Lowndes County,Alabama,01085,13.9,9.3,20
Macon County,Alabama,01087,23,14.2,34.5
